GridID,TimeInterval,DataCount
15.0,2012-11-01 20:00:00-2012-11-01 20:20:00,37
15.0,2012-11-01 20:20:00-2012-11-01 20:40:00,38
15.0,2012-11-01 20:40:00-2012-11-01 21:00:00,37
15.0,2012-11-01 21:00:00-2012-11-01 21:20:00,24
15.0,2012-11-01 21:20:00-2012-11-01 21:40:00,33
15.0,2012-11-01 21:40:00-2012-11-01 22:00:00,39
15.0,2012-11-01 22:00:00-2012-11-01 22:20:00,37
15.0,2012-11-01 22:20:00-2012-11-01 22:40:00,21
15.0,2012-11-01 22:40:00-2012-11-01 23:00:00,31
15.0,2012-11-01 23:00:00-2012-11-01 23:20:00,38
15.0,2012-11-01 23:20:00-2012-11-01 23:40:00,21
15.0,2012-11-01 23:40:00-2012-11-02 00:00:00,14
15.0,2012-11-02 00:00:00-2012-11-02 00:20:00,1
16.0,2012-11-01 00:00:00-2012-11-01 00:20:00,1
16.0,2012-11-01 00:20:00-2012-11-01 00:40:00,2
16.0,2012-11-01 00:40:00-2012-11-01 01:00:00,4
16.0,2012-11-01 01:00:00-2012-11-01 01:20:00,1
16.0,2012-11-01 01:20:00-2012-11-01 01:40:00,11
16.0,2012-11-01 01:40:00-2012-11-01 02:00:00,1
16.0,2012-11-01 02:00:00-2012-11-01 02:20:00,4
16.0,2012-11-01 02:20:00-2012-11-01 02:40:00,4
16.0,2012-11-01 02:40:00-2012-11-01 03:00:00,3
16.0,2012-11-01 03:00:00-2012-11-01 03:20:00,3
16.0,2012-11-01 03:20:00-2012-11-01 03:40:00,1
16.0,2012-11-01 03:40:00-2012-11-01 04:00:00,1
16.0,2012-11-01 04:00:00-2012-11-01 04:20:00,2
16.0,2012-11-01 04:40:00-2012-11-01 05:00:00,1
16.0,2012-11-01 05:00:00-2012-11-01 05:20:00,2
16.0,2012-11-01 05:20:00-2012-11-01 05:40:00,4
16.0,2012-11-01 05:40:00-2012-11-01 06:00:00,10
16.0,2012-11-01 06:00:00-2012-11-01 06:20:00,13
16.0,2012-11-01 06:20:00-2012-11-01 06:40:00,12
16.0,2012-11-01 06:40:00-2012-11-01 07:00:00,10
16.0,2012-11-01 07:00:00-2012-11-01 07:20:00,25
16.0,2012-11-01 07:20:00-2012-11-01 07:40:00,18
16.0,2012-11-01 07:40:00-2012-11-01 08:00:00,17
16.0,2012-11-01 08:00:00-2012-11-01 08:20:00,20
16.0,2012-11-01 08:20:00-2012-11-01 08:40:00,24
16.0,2012-11-01 08:40:00-2012-11-01 09:00:00,24
16.0,2012-11-01 09:00:00-2012-11-01 09:20:00,22
16.0,2012-11-01 09:20:00-2012-11-01 09:40:00,24
16.0,2012-11-01 09:40:00-2012-11-01 10:00:00,27
16.0,2012-11-01 10:00:00-2012-11-01 10:20:00,16
16.0,2012-11-01 10:20:00-2012-11-01 10:40:00,25
16.0,2012-11-01 10:40:00-2012-11-01 11:00:00,24
16.0,2012-11-01 11:00:00-2012-11-01 11:20:00,30
16.0,2012-11-01 11:20:00-2012-11-01 11:40:00,29
16.0,2012-11-01 11:40:00-2012-11-01 12:00:00,28
16.0,2012-11-01 12:00:00-2012-11-01 12:20:00,32
16.0,2012-11-01 12:20:00-2012-11-01 12:40:00,24
16.0,2012-11-01 12:40:00-2012-11-01 13:00:00,18
16.0,2012-11-01 13:00:00-2012-11-01 13:20:00,25
16.0,2012-11-01 13:20:00-2012-11-01 13:40:00,20
16.0,2012-11-01 13:40:00-2012-11-01 14:00:00,19
16.0,2012-11-01 14:00:00-2012-11-01 14:20:00,39
16.0,2012-11-01 14:20:00-2012-11-01 14:40:00,20
16.0,2012-11-01 14:40:00-2012-11-01 15:00:00,30
16.0,2012-11-01 15:00:00-2012-11-01 15:20:00,23
16.0,2012-11-01 15:20:00-2012-11-01 15:40:00,22
16.0,2012-11-01 15:40:00-2012-11-01 16:00:00,18
16.0,2012-11-01 16:00:00-2012-11-01 16:20:00,34
16.0,2012-11-01 16:20:00-2012-11-01 16:40:00,20
